population;replicate;alive_herm;alive_male;killed_herm;killed_male
A00R1;A;0;;;
A00R1;B;0;;;
A00R1;C;0;;;
A00R1;D;NA;NA;;
A00R1;E;NA;NA;;
A00R1;F;NA;NA;;
A00R2;A;0;;;
A00R2;B;0;;;
A00R2;C;0;;;
A00R2;D;NA;NA;;
A00R2;E;NA;NA;;
A00R2;F;NA;NA;;
A00R3;A;0;;;
A00R3;B;0;;;
A00R3;C;0;;;
A00R3;D;NA;NA;;
A00R3;E;NA;NA;;
A00R3;F;NA;NA;;
AA1;A;0;;;
AA1;B;1;;;
AA1;C;0;;;
AA1;D;NA;NA;;
AA1;E;NA;NA;;
AA1;F;NA;NA;;
AA2;A;0;;;
AA2;B;1;;;
AA2;C;0;;;
AA2;D;NA;NA;;
AA2;E;NA;NA;;
AA2;F;NA;NA;;
AA3;A;0;;;
AA3;B;0;;;
AA3;C;0;;;
AA3;D;NA;NA;;
AA3;E;NA;NA;;
AA3;F;NA;NA;;
AA4;A;0;;;
AA4;B;0;;;
AA4;C;0;;;
AA4;D;NA;NA;;
AA4;E;NA;NA;;
AA4;F;NA;NA;;
AA5;A;0;;;
AA5;B;1;;;
AA5;C;0;;;
AA5;D;NA;NA;;
AA5;E;NA;NA;;
AA5;F;NA;NA;;
AA6;A;0;;;
AA6;B;0;;;
AA6;C;0;;;
AA6;D;NA;NA;;
AA6;E;NA;NA;;
AA6;F;NA;NA;;
AA7;A;0;;;
AA7;B;0;;;
AA7;C;0;;;
AA7;D;NA;NA;;
AA7;E;NA;NA;;
AA7;F;NA;NA;;
AA8;A;0;;;
AA8;B;0;;;
AA8;C;0;;;
AA8;D;NA;NA;;
AA8;E;NA;NA;;
AA8;F;NA;NA;;
A00R1;G;10;;;
A00R1;H;5;;;
A00R1;I;6;;;
A00R1;J;6;;;
A00R1;K;1;1;;
A00R1;L;2;2;;
A00R1;M;1;0;;
A00R1;N;1;1;;
A00R2;G;6;;;
A00R2;H;5;;;
A00R2;I;8;;;
A00R2;J;4;;;
A00R2;K;1;1;;
A00R2;L;1;2;;
A00R2;M;0;1;;
A00R2;N;4;1;;
A00R3;G;2;;;
A00R3;H;2;;;
A00R3;I;4;;;
A00R3;J;1;;;
A00R3;K;1;1;;
A00R3;L;0;2;;
A00R3;M;2;1;;
A00R3;N;0;2;;
AA1;G;4;;;
AA1;H;1;;;
AA1;I;4;;;
AA1;J;5;;;
AA1;K;0;0;;
AA1;L;0;0;;
AA1;M;2;1;;
AA1;N;0;3;;
AA2;G;1;;;
AA2;H;2;;;
AA2;I;3;;;
AA2;J;4;;;
AA2;K;1;1;;
AA2;L;1;2;;
AA2;M;1;1;;
AA2;N;1;2;;
AA3;G;6;;;
AA3;H;2;;;
AA3;I;5;;;
AA3;J;3;;;
AA3;K;0;0;;
AA3;L;0;1;;
AA3;M;1;1;;
AA3;N;0;2;;
AA4;G;3;;;
AA4;H;7;;;
AA4;I;3;;;
AA4;J;1;;;
AA4;K;6;1;;
AA4;L;1;0;;
AA4;M;0;1;;
AA4;N;1;0;;
AA5;G;3;;;
AA5;H;4;;;
AA5;I;5;;;
AA5;J;3;;;
AA5;K;1;1;;
AA5;L;1;2;;
AA5;M;1;1;;
AA5;N;1;1;;
AA6;G;1;;;
AA6;H;1;;;
AA6;I;0;;;
AA6;J;3;;;
AA6;K;2;1;;
AA6;L;0;0;;
AA6;M;1;1;;
AA6;N;0;0;;
AA7;G;1;;;
AA7;H;3;;;
AA7;I;2;;;
AA7;J;3;;;
AA7;K;1;2;;
AA7;L;0;0;;
AA7;M;2;2;;
AA7;N;1;2;;
AA8;G;2;;;
AA8;H;1;;;
AA8;I;5;;;
AA8;J;2;;;
AA8;K;0;3;;
AA8;L;0;0;;
AA8;M;1;2;;
AA8;N;5;2;;
