population;replicate;alive_herm;alive_male;killed_herm;killed_male
A00R1;A;7;;;
A00R1;B;4;;;
A00R1;C;1;;;
A00R1;D;NA;NA;;
A00R1;E;NA;NA;;
A00R1;F;NA;NA;;
A00R2;A;3;;;
A00R2;B;3;;;
A00R2;C;4;;;
A00R2;D;NA;NA;;
A00R2;E;NA;NA;;
A00R2;F;NA;NA;;
A00R3;A;5;;;
A00R3;B;5;;;
A00R3;C;1;;;
A00R3;D;NA;NA;;
A00R3;E;NA;NA;;
A00R3;F;NA;NA;;
AA1;A;6;;;
AA1;B;8;;;
AA1;C;4;;;
AA1;D;NA;NA;;
AA1;E;NA;NA;;
AA1;F;NA;NA;;
AA2;A;5;;;
AA2;B;6;;;
AA2;C;7;;;
AA2;D;NA;NA;;
AA2;E;NA;NA;;
AA2;F;NA;NA;;
AA3;A;3;;;
AA3;B;3;;;
AA3;C;8;;;
AA3;D;NA;NA;;
AA3;E;NA;NA;;
AA3;F;NA;NA;;
AA4;A;7;;;
AA4;B;4;;;
AA4;C;6;;;
AA4;D;NA;NA;;
AA4;E;NA;NA;;
AA4;F;NA;NA;;
AA5;A;3;;;
AA5;B;4;;;
AA5;C;4;;;
AA5;D;NA;NA;;
AA5;E;NA;NA;;
AA5;F;NA;NA;;
AA6;A;5;;;
AA6;B;2;;;
AA6;C;8;;;
AA6;D;NA;NA;;
AA6;E;NA;NA;;
AA6;F;NA;NA;;
AA7;A;4;;;
AA7;B;6;;;
AA7;C;7;;;
AA7;D;NA;NA;;
AA7;E;NA;NA;;
AA7;F;NA;NA;;
AA8;A;9;;;
AA8;B;6;;;
AA8;C;3;;;
AA8;D;NA;NA;;
AA8;E;NA;NA;;
AA8;F;NA;NA;;
A00R1;G;10;;;
A00R1;H;10;;;
A00R1;I;10;;;
A00R1;J;10;;;
A00R1;K;5;5;;
A00R1;L;5;4;;
A00R1;M;5;3;;
A00R1;N;5;4;;
A00R2;G;10;;;
A00R2;H;10;;;
A00R2;I;10;;;
A00R2;J;10;;;
A00R2;K;5;5;;
A00R2;L;5;4;;
A00R2;M;5;5;;
A00R2;N;5;5;;
A00R3;G;10;;;
A00R3;H;10;;;
A00R3;I;10;;;
A00R3;J;9;;1;
A00R3;K;5;5;;
A00R3;L;5;5;;
A00R3;M;5;5;;
A00R3;N;5;5;;
AA1;G;10;;;
AA1;H;10;;;
AA1;I;10;;;
AA1;J;10;;;
AA1;K;5;5;;
AA1;L;5;5;;
AA1;M;5;5;;
AA1;N;4;6;;
AA2;G;10;;;
AA2;H;10;;;
AA2;I;10;;;
AA2;J;10;;;
AA2;K;4;5;;
AA2;L;5;5;;
AA2;M;5;5;;
AA2;N;5;5;;
AA3;G;10;;;
AA3;H;10;;;
AA3;I;10;;;
AA3;J;10;;;
AA3;K;5;5;;
AA3;L;5;4;;
AA3;M;5;4;;
AA3;N;5;5;;
AA4;G;8;;;
AA4;H;10;;;
AA4;I;9;;;
AA4;J;10;;;
AA4;K;10;;;
AA4;L;6;4;;
AA4;M;5;5;;
AA4;N;5;5;;
AA5;G;9;;;
AA5;H;10;;;
AA5;I;10;;;
AA5;J;10;;;
AA5;K;5;5;;
AA5;L;5;4;;
AA5;M;5;5;;
AA5;N;5;5;;
AA6;G;10;;;
AA6;H;10;;;
AA6;I;11;;;
AA6;J;10;;;
AA6;K;5;5;;
AA6;L;5;5;;
AA6;M;5;5;;
AA6;N;5;5;;
AA7;G;9;;;
AA7;H;9;;;
AA7;I;10;;;
AA7;J;10;;;
AA7;K;5;4;;
AA7;L;5;6;;
AA7;M;4;4;;
AA7;N;5;5;;
AA8;G;10;;;
AA8;H;10;;;
AA8;I;10;;;
AA8;J;10;;;
AA8;K;5;5;;
AA8;L;5;5;;
AA8;M;5;5;;
AA8;N;5;5;;
