population;replicate;alive_herm;alive_male;killed_herm;killed_male
A00R1;A;0;;;
A00R1;B;0;;;
A00R1;C;0;;;
A00R1;D;NA;NA;;
A00R1;E;NA;NA;;
A00R1;F;NA;NA;;
A00R2;A;0;;;
A00R2;B;0;;;
A00R2;C;0;;;
A00R2;D;NA;NA;;
A00R2;E;NA;NA;;
A00R2;F;NA;NA;;
A00R3;A;0;;;
A00R3;B;0;;;
A00R3;C;0;;;
A00R3;D;NA;NA;;
A00R3;E;NA;NA;;
A00R3;F;NA;NA;;
AA1;A;0;;;
AA1;B;1;;;
AA1;C;0;;;
AA1;D;NA;NA;;
AA1;E;NA;NA;;
AA1;F;NA;NA;;
AA2;A;0;;;
AA2;B;1;;;
AA2;C;0;;;
AA2;D;NA;NA;;
AA2;E;NA;NA;;
AA2;F;NA;NA;;
AA3;A;0;;;
AA3;B;0;;;
AA3;C;0;;;
AA3;D;NA;NA;;
AA3;E;NA;NA;;
AA3;F;NA;NA;;
AA4;A;0;;;
AA4;B;0;;;
AA4;C;0;;;
AA4;D;NA;NA;;
AA4;E;NA;NA;;
AA4;F;NA;NA;;
AA5;A;0;;;
AA5;B;1;;;
AA5;C;0;;;
AA5;D;NA;NA;;
AA5;E;NA;NA;;
AA5;F;NA;NA;;
AA6;A;0;;;
AA6;B;0;;;
AA6;C;0;;;
AA6;D;NA;NA;;
AA6;E;NA;NA;;
AA6;F;NA;NA;;
AA7;A;0;;;
AA7;B;0;;;
AA7;C;0;;;
AA7;D;NA;NA;;
AA7;E;NA;NA;;
AA7;F;NA;NA;;
AA8;A;0;;;
AA8;B;0;;;
AA8;C;0;;;
AA8;D;NA;NA;;
AA8;E;NA;NA;;
AA8;F;NA;NA;;
A00R1;G;1;;;
A00R1;H;2;;;
A00R1;I;1;;;
A00R1;J;4;;;
A00R1;K;1;1;;
A00R1;L;;;;
A00R1;M;1;;;
A00R1;N;1;1;;
A00R2;G;1;;;
A00R2;H;2;;;
A00R2;I;1;;;
A00R2;J;2;;;
A00R2;K;1;1;;
A00R2;L;;;;
A00R2;M;;;;
A00R2;N;;;;
A00R3;G;0;;;
A00R3;H;0;;;
A00R3;I;2;;;
A00R3;J;0;;;
A00R3;K;1;1;;
A00R3;L;;1;;
A00R3;M;;;;
A00R3;N;;1;;
AA1;G;2;;;
AA1;H;1;;;
AA1;I;2;;;
AA1;J;1;;;
AA1;K;;;;
AA1;L;;;;
AA1;M;;;;
AA1;N;;1;;
AA2;G;;;;
AA2;H;;;;
AA2;I;1;;;
AA2;J;2;;;
AA2;K;;;;
AA2;L;1;;;
AA2;M;;;;
AA2;N;;1;;
AA3;G;1;;;
AA3;H;1;;;
AA3;I;2;;;
AA3;J;2;;;
AA3;K;;;;
AA3;L;;1;;
AA3;M;;;;
AA3;N;;;;
AA4;G;;;;
AA4;H;1;;;
AA4;I;1;;;
AA4;J;1;;;
AA4;K;;;;
AA4;L;;1;;
AA4;M;;;;
AA4;N;;;;
AA5;G;;;;
AA5;H;3;;;
AA5;I;1;;;
AA5;J;2;;;
AA5;K;;;;
AA5;L;;2;;
AA5;M;;1;;
AA5;N;;;;
AA6;G;1;;;
AA6;H;;;;
AA6;I;;;;
AA6;J;3;;;
AA6;K;;;;
AA6;L;;;;
AA6;M;;;;
AA6;N;;;;
AA7;G;1;;;
AA7;H;2;;;
AA7;I;0;;;
AA7;J;1;;;
AA7;K;;2;;
AA7;L;;;;
AA7;M;;;;
AA7;N;;1;;
AA8;G;2;;;
AA8;H;1;;;
AA8;I;1;;;
AA8;J;;;;
AA8;K;;2;;
AA8;L;;;;
AA8;M;;;;
AA8;N;1;;;
