population;replicate;alive_herm;alive_male;killed_herm;killed_male
A00R1;A;10;;;
A00R1;B;8;;;
A00R1;C;6;;;
A00R1;D;4;4;;
A00R1;E;5;5;;
A00R1;F;5;5;;
A00R2;A;5;;;
A00R2;B;10;;;
A00R2;C;9;;;
A00R2;D;5;5;;
A00R2;E;5;3;;
A00R2;F;5;5;;
A00R3;A;9;;;
A00R3;B;9;;;
A00R3;C;10;;;
A00R3;D;5;4;;
A00R3;E;6;3;;
A00R3;F;5;5;;
AA1;A;9;;;
AA1;B;9;;;
AA1;C;8;;;
AA1;D;5;5;;
AA1;E;5;5;;
AA1;F;5;3;;
AA2;A;10;;;
AA2;B;8;;;
AA2;C;10;;;
AA2;D;5;4;;
AA2;E;3;3;;
AA2;F;5;3;;
AA3;A;9;;;
AA3;B;9;;;
AA3;C;10;;;
AA3;D;4;5;;
AA3;E;5;4;;
AA3;F;5;3;;
AA4;A;10;;;
AA4;B;10;;;
AA4;C;9;;;
AA4;D;5;5;;
AA4;E;5;5;;
AA4;F;5;4;;
AA5;A;8;;;
AA5;B;10;;;
AA5;C;7;;1;
AA5;D;5;4;;
AA5;E;6;4;;
AA5;F;4;5;;
AA6;A;10;;;
AA6;B;10;;;
AA6;C;10;;;
AA6;D;4;5;;
AA6;E;4;4;;
AA6;F;5;5;;
AA7;A;7;;;
AA7;B;10;;;
AA7;C;10;;;
AA7;D;5;4;;
AA7;E;5;4;;
AA7;F;5;5;;
AA8;A;10;;;
AA8;B;10;;;
AA8;C;10;;;
AA8;D;5;5;;
AA8;E;5;5;;
AA8;F;5;5;;
;;;;;
